0.8000,1.3224,0.6363,0.8105
0.0000,0.9507,1.8167,0.2945
0.8000,1.3782,0.7806,0.5881
0.8000,1.2263,1.6247,0.6146
0.4000,1.1116,0.8116,0.6785
0.4000,1.0223,1.6871,0.9490
0.2000,0.4512,0.8010,0.5601
0.8000,0.9526,1.8256,0.6199
0.4000,0.8482,0.7314,0.8131
0.0000,0.8150,1.6899,0.8484
0.0000,0.8744,0.8986,0.0157
0.0000,0.5795,1.6867,0.6079
0.8000,1.3407,0.7308,0.5941
0.8000,0.8073,1.8432,0.7107
0.8000,1.1466,0.7718,0.0658
0.0000,1.0696,1.7539,0.4685
0.2000,0.7343,0.8120,0.1845
0.0000,1.2359,1.7198,0.6316
0.2000,1.2575,0.5074,0.7970
0.0000,0.8173,1.7483,0.6348
0.6000,1.0159,0.8744,0.4897
0.0000,0.9038,1.8049,0.6236
0.4000,1.1235,0.8057,0.4514
0.6000,0.9931,1.6226,0.4377
0.4000,0.9078,0.6444,0.1811
0.6000,0.9477,1.8184,0.2536
0.6000,0.9466,0.8732,0.9451
0.0000,0.7044,1.8194,0.9357
0.8000,0.3735,0.8071,0.9993
0.4000,1.4040,1.7484,0.0602
0.6000,0.9039,0.7823,0.5547
0.2000,1.1517,1.6305,0.6955
0.0000,1.1533,0.6987,0.7450
0.6000,1.1215,1.8195,0.1841
0.4000,0.6800,0.8105,0.3980
0.8000,0.9447,1.7945,0.6755
0.6000,1.2180,0.7209,0.5367
0.4000,0.9953,1.8602,0.1751
0.4000,1.6222,0.8060,0.1981
0.8000,1.0030,1.8732,0.1600
0.2000,0.5927,0.7674,0.7475
0.4000,0.6670,1.6082,0.5050
0.4000,0.7763,0.6823,0.9412
0.0000,0.9976,1.5018,0.9918
0.2000,1.5787,0.9381,0.8982
0.0000,0.9659,1.8435,0.5651
0.0000,1.3660,0.8067,0.3752
0.6000,1.0996,1.7390,0.4667
0.2000,1.0184,0.7463,0.0250
0.4000,1.0331,1.6611,0.1791
